ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
1,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3
2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,3,2
3,3,3,3,3,4,3,2,4,3,4,3,3,3,3,4,4,3,3,3,4,3,3,2,3
4,4,3,3,3,2,3,3,2,3,3,3,4,3,3,4,4,4,3,3,4,3,4,4,4
5,5,4,4,4,4,5,4,4,5,4,4,5,4,4,3,3,3,3,3,4,3,4,4,3
6,4,3,3,3,4,3,3,3,3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4
7,2,2,3,2,2,2,3,2,2,2,2,2,4,4,4,4,4,4,3,3,4,4,3,4
8,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1
9,4,4,4,4,3,4,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4
10,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3
11,3,3,3,2,3,3,3,3,3,3,3,3,1,3,2,2,2,2,2,2,2,2,3,3
12,2,2,2,2,3,2,1,3,2,3,3,2,4,3,3,4,4,3,4,4,4,3,4,4
13,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,4,4,3,4,4,5,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,3,3
15,4,4,4,4,2,3,4,3,3,4,4,3,4,3,3,3,3,3,2,3,4,3,3,3
16,3,2,3,3,3,4,4,3,3,3,4,3,4,5,5,5,4,4,4,5,5,5,5,4
17,3,4,4,4,3,4,4,3,4,3,4,5,3,4,3,3,3,4,3,3,3,3,4,4
18,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1
19,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5
20,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
21,3,3,4,3,2,4,4,3,3,4,4,3,4,4,5,4,4,4,4,5,4,4,4,4
22,3,4,4,3,4,4,4,4,4,4,4,4,3,2,3,2,3,4,2,2,3,3,2,3
23,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2
24,4,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,5,4,5,5,4,5
25,3,3,2,3,3,3,3,4,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3
26,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1
27,3,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2
28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,3,2,2,3,2,3,2,2,3,4,3,3,3,4,4,4,4,3,3,3,3,3,4,4
30,2,2,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,1,1,1,2,1
31,3,2,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,3,4,3,3,4,2
32,3,3,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
33,2,2,3,2,3,2,2,2,3,2,3,2,2,2,3,3,3,2,3,2,2,3,2,2
34,2,2,3,2,2,2,2,2,2,2,2,3,4,4,3,3,4,3,3,3,4,3,3,3
35,4,4,4,4,4,4,4,4,5,4,4,4,3,3,4,4,3,4,4,3,4,3,3,3
36,5,4,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,4,3
37,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,4,3,3,3,3,3,2,3,3
38,3,3,3,3,4,3,3,3,2,3,3,3,4,4,3,4,4,3,3,4,3,3,3,3
39,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,1,2,2,3,2,2
40,3,2,3,3,3,3,3,2,3,3,3,2,2,2,1,2,2,2,2,2,2,1,3,2
41,4,3,3,3,3,3,3,3,3,3,2,4,2,1,1,2,2,2,2,1,2,1,2,2
42,3,3,4,3,3,3,3,2,3,3,3,3,4,4,4,3,4,3,4,4,3,4,3,4
43,5,4,5,4,5,4,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5
44,1,1,2,2,2,2,2,1,2,2,2,2,3,2,3,3,3,2,3,3,4,4,2,3
45,4,4,3,5,4,4,4,4,4,4,3,4,2,3,2,3,3,3,2,3,3,3,3,2
46,5,5,4,5,5,5,5,5,5,4,5,5,4,5,3,4,5,4,4,4,4,4,4,5
47,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2
48,4,4,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,2,2,2,2,2,2,2
49,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2
50,3,3,3,3,3,3,2,3,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3
51,3,3,2,2,3,3,2,3,3,3,3,3,4,5,4,5,4,4,3,4,5,4,4,4
52,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1
53,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,3,3,4,4,4,4,3,4,4,4,3,4,3,4,4,3,3,3,4,4,3,3,3,3
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,3,4,3,4,3,4,4,3,4,3,3,4,3,3,4,4,3,3,3,4,3,4,4,4
57,4,4,4,4,3,4,4,3,3,4,5,3,2,3,3,3,3,3,3,3,3,2,3,3
58,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,2,3,2,3
59,4,3,4,4,4,5,4,4,3,4,4,4,5,4,4,3,4,3,4,3,3,4,4,3
60,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
61,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,3,4,3,3,4,3,3,4,3
62,3,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3
63,3,2,3,4,3,3,4,3,3,3,4,3,2,2,2,2,3,2,2,2,2,3,3,3
64,4,4,3,4,3,3,3,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4
65,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,3,3,3,4,3,3,3,2
66,3,3,3,2,2,2,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2
67,3,4,4,4,3,3,4,3,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4
68,2,2,2,2,2,3,3,3,2,2,3,3,4,3,3,3,3,3,2,3,3,3,3,4
69,3,3,3,3,3,4,3,4,4,3,4,4,3,3,4,3,4,4,4,4,3,4,3,3
70,3,4,4,3,3,3,3,3,4,3,3,3,3,2,3,3,2,3,2,2,3,3,2,2
71,2,3,3,3,4,3,3,4,3,2,2,3,3,3,4,4,4,4,3,4,3,3,4,3
72,3,4,4,2,3,4,4,3,3,3,3,3,3,3,3,3,4,2,3,3,2,3,3,3
73,4,4,3,3,3,2,3,3,3,3,4,3,5,5,4,4,4,4,4,4,4,3,3,4
74,3,4,3,3,4,3,2,4,3,3,3,3,4,4,3,3,3,4,4,3,3,3,4,3
75,3,3,4,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,3,2,3,3,3
76,4,3,3,4,3,4,4,3,4,3,3,4,3,3,2,3,3,3,2,3,3,3,3,2
77,3,3,3,4,3,2,3,3,3,2,3,4,4,4,3,3,3,3,3,3,4,2,3,4
78,4,4,2,4,4,2,2,3,3,3,3,3,4,5,4,4,3,4,4,4,4,3,4,3
79,3,3,2,2,3,3,2,3,3,3,2,3,1,2,2,3,2,2,1,2,1,2,2,2
80,4,3,3,4,4,3,4,3,4,4,4,4,4,3,3,4,3,3,4,3,3,3,3,3
81,2,2,3,3,2,3,2,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,3
82,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4
83,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4
84,1,1,2,1,2,2,2,2,2,1,1,2,3,3,3,3,2,3,2,2,2,2,3,2
85,4,5,4,4,4,5,4,5,4,5,4,4,5,5,5,4,4,5,5,5,4,5,4,4
86,4,4,4,5,5,5,4,4,5,4,4,5,4,3,3,3,4,4,3,3,4,4,3,4
87,2,2,3,2,2,1,1,2,2,2,2,2,3,3,3,4,4,3,3,4,4,3,4,3
88,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
89,4,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,3,4
90,4,4,3,3,3,3,4,4,3,4,3,4,4,3,4,5,4,4,4,4,4,4,5,4
91,5,5,4,5,4,5,4,4,4,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4
92,3,2,2,2,3,2,3,2,3,3,2,3,3,3,4,3,4,3,4,3,3,4,3,4
93,2,2,2,2,2,2,3,2,2,1,2,1,3,3,2,2,2,2,3,2,2,2,2,2
94,3,2,3,3,4,2,3,2,2,2,2,3,3,2,2,3,3,2,2,3,2,2,3,3
95,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,2,2,4,3,3,2,2,4,3
96,3,3,3,4,3,3,3,3,4,4,4,3,4,3,3,3,3,4,3,4,4,4,3,3
97,4,4,4,3,3,4,3,4,5,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4
98,5,5,5,5,5,4,5,4,5,5,5,4,2,3,3,3,3,3,3,4,3,4,3,3
