ID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
1,3,4,3,3,4,4,2,4,1,5,5,4,3,4,5,5,4,4,4,5,3,1,3,3
2,4,3,2,4,4,4,3,3,3,5,5,5,4,4,4,4,4,3,4,3,5,5,4,4
3,5,4,1,4,4,5,2,4,1,4,5,4,2,3,5,2,4,3,4,5,3,4,3,5
4,2,5,4,5,5,2,3,4,5,2,4,5,3,3,5,5,4,5,4,4,3,4,4,4
5,4,3,4,5,3,4,5,4,4,4,4,5,5,2,4,2,4,5,4,5,5,4,5,3
6,5,3,5,3,4,4,4,3,4,2,4,5,2,3,4,1,4,4,4,4,4,3,4,3
7,3,5,4,3,3,5,4,5,3,4,4,3,4,5,2,5,4,4,4,4,3,3,3,4
8,5,5,4,4,2,5,5,2,4,1,1,4,4,2,4,5,5,2,4,4,4,2,4,4
9,4,4,3,5,4,4,3,5,4,2,4,4,4,4,1,3,5,3,4,4,5,1,5,4
10,5,5,2,2,4,3,4,2,4,5,5,4,4,3,3,3,3,3,1,2,3,5,5,4
11,3,3,5,4,3,2,5,2,3,5,2,2,5,5,2,4,2,5,4,4,4,5,3,5
12,4,3,4,5,4,3,4,5,5,4,1,4,5,1,5,4,5,5,4,5,4,3,5,3
13,3,3,2,4,3,2,3,5,4,2,2,4,4,3,2,4,4,3,4,4,4,5,4,4
14,5,2,3,5,4,4,4,2,2,4,5,1,4,3,1,3,4,4,5,1,1,3,4,3
15,1,5,4,4,2,2,4,4,3,1,4,4,4,2,4,2,4,5,1,3,3,5,4,4
16,4,5,4,5,4,4,2,3,3,4,4,3,3,4,5,4,4,1,5,3,4,5,4,5
17,4,2,4,3,4,2,4,4,2,4,4,4,5,5,5,1,5,4,2,4,4,3,5,3
18,4,1,4,1,2,4,5,3,3,5,5,3,4,5,4,5,3,5,3,4,1,5,3,4
19,4,3,4,5,4,4,4,4,4,1,3,4,4,2,5,5,4,4,3,4,5,4,3,1
20,5,5,4,4,2,3,4,4,3,4,2,5,4,3,5,4,5,1,2,2,4,4,5,2
21,1,4,4,4,3,4,4,3,1,5,5,4,3,4,4,5,4,5,4,2,5,3,3,5
22,2,5,5,4,2,4,5,2,4,5,5,3,5,4,3,5,3,5,3,2,3,4,3,3
23,3,3,3,4,3,5,5,4,2,4,4,1,5,2,4,5,5,4,4,3,5,3,5,4
24,4,2,4,4,3,3,4,4,3,4,4,2,3,3,3,4,5,4,3,3,1,5,4,4
25,3,1,1,3,2,4,4,5,4,4,3,4,5,2,5,1,4,4,2,4,5,3,5,4
26,5,5,4,2,5,4,4,4,4,4,4,4,4,5,3,5,5,3,5,4,3,3,1,1
27,2,4,4,4,2,4,4,2,5,4,3,5,5,5,5,5,1,4,4,5,5,4,4,2
28,1,2,4,4,5,5,5,5,4,4,2,3,3,4,3,4,5,4,3,5,4,5,3,5
29,4,3,3,3,4,3,5,4,1,3,3,5,5,2,2,4,3,4,4,2,4,3,4,3
30,4,3,4,4,4,2,5,1,5,5,5,4,5,2,2,4,1,1,4,4,5,2,4,5
31,5,1,4,4,5,4,5,2,4,4,1,4,5,3,5,5,3,1,2,5,4,3,4,5
32,4,3,5,5,3,4,5,4,3,3,5,5,5,4,4,3,4,3,5,3,5,5,5,4
33,4,5,5,4,4,4,5,4,4,1,4,4,3,2,3,5,4,4,3,3,4,5,4,5
34,4,1,4,5,4,4,1,5,4,3,4,4,4,3,4,5,3,4,3,3,5,3,4,2
35,3,3,3,4,5,2,4,4,5,4,1,3,5,4,4,3,4,5,4,4,4,5,4,2
36,4,1,4,5,3,4,4,5,4,1,5,4,3,3,3,5,4,4,4,5,2,2,5,3
37,4,5,2,4,5,3,2,5,4,2,4,4,1,5,1,3,2,5,4,4,5,3,2,3
38,4,5,5,3,2,4,4,1,3,5,5,5,3,4,1,3,4,5,5,4,4,5,4,4
39,3,3,3,5,3,5,4,3,1,4,4,3,4,2,5,4,4,4,1,5,5,4,4,3
40,4,5,5,4,4,3,4,4,4,5,3,5,4,5,3,4,3,4,3,3,5,4,5,4
41,5,5,4,2,4,3,4,5,5,4,5,4,4,4,2,5,3,4,4,5,4,4,5,4
42,3,4,3,2,4,2,4,3,5,5,4,5,2,3,3,2,4,1,5,4,4,4,5,3
43,1,4,4,4,2,3,5,4,5,4,5,3,5,3,5,4,5,4,5,3,1,3,2,5
44,3,4,5,3,4,5,3,4,4,3,4,4,3,3,4,4,3,4,3,5,5,2,3,4
45,3,3,5,4,4,5,4,4,4,3,3,1,4,2,4,3,4,1,4,4,4,2,3,2
46,3,2,5,4,5,2,2,4,4,4,2,5,4,5,5,5,4,4,2,4,4,2,5,5
47,4,4,4,5,4,4,4,4,3,3,1,4,5,3,5,5,4,5,4,3,4,5,3,3
48,4,4,3,4,5,4,4,5,3,4,4,4,2,3,5,3,5,4,4,4,1,5,2,4
49,5,4,3,5,4,4,4,5,4,5,5,3,3,3,4,3,4,4,4,4,4,3,3,5
50,2,2,5,5,4,5,2,5,2,3,5,3,3,1,5,4,3,5,5,1,4,2,4,3
51,3,3,5,3,4,4,3,5,4,4,2,4,5,3,4,4,5,5,5,4,5,5,4,3
52,5,3,4,4,5,4,2,2,4,3,3,3,4,4,5,5,4,4,3,5,2,5,2,4
53,1,5,5,4,5,4,5,4,3,4,3,4,4,1,2,5,4,5,3,5,2,4,5,5
54,4,4,4,1,4,4,4,4,2,3,5,5,5,4,2,2,4,2,3,5,2,3,5,5
55,2,4,3,5,3,5,4,4,1,2,4,4,5,4,5,5,3,5,4,4,3,4,3,2
56,4,3,4,4,3,3,5,1,3,4,4,4,4,2,4,2,5,4,5,4,2,3,4,5
57,5,3,4,5,4,3,5,5,5,1,4,5,4,2,2,4,4,5,4,4,4,4,5,5
58,4,4,2,2,5,1,5,4,2,5,3,4,2,2,4,4,4,3,4,4,4,5,4,4
59,4,4,4,4,4,3,4,3,4,5,4,2,5,4,3,3,4,5,4,5,4,3,5,5
60,4,4,3,4,4,5,4,3,2,4,1,3,4,4,4,3,2,3,4,5,5,3,5,5
61,4,4,5,5,4,2,2,5,4,4,4,3,4,4,4,3,4,4,3,5,5,5,5,3
62,4,4,5,4,4,5,5,4,5,4,2,2,4,5,4,4,5,4,5,5,1,4,2,4
63,4,2,5,2,4,4,4,4,4,4,3,3,5,2,5,5,4,2,3,4,5,4,5,5
64,2,3,4,4,2,5,4,5,1,5,4,3,3,2,4,4,4,4,3,2,5,2,3,4
65,5,4,5,2,4,4,5,4,4,4,5,3,2,4,4,4,2,4,4,5,5,4,5,2
66,4,4,5,4,5,4,4,3,4,2,3,3,5,3,4,5,5,4,1,4,3,4,2,5
67,3,4,4,5,5,4,5,4,4,4,3,5,4,3,5,3,5,4,5,4,4,5,3,4
68,5,1,1,4,5,4,2,2,5,5,4,4,4,5,3,3,4,4,2,2,3,5,3,4
69,3,4,3,4,4,1,5,5,2,5,4,4,4,2,4,4,1,5,5,4,4,3,5,2
70,3,4,3,4,4,5,2,4,3,2,4,4,4,2,4,5,2,1,4,4,5,4,4,4
71,4,4,3,4,2,5,5,4,5,3,3,4,4,5,3,5,4,4,3,5,1,4,5,5
72,4,4,5,3,5,4,4,4,5,4,4,4,4,3,1,4,5,4,4,4,4,5,4,3
73,4,3,5,4,5,4,2,5,5,5,4,5,5,5,3,5,4,3,4,3,5,5,1,4
74,4,5,4,3,3,5,3,5,5,3,4,4,4,4,2,2,3,4,4,4,3,5,5,5
75,3,4,1,4,3,3,4,3,3,5,2,1,2,2,5,5,4,4,5,4,4,4,4,2
76,4,4,5,5,2,4,5,5,4,4,3,4,3,1,2,1,4,4,1,2,5,3,4,4
77,2,3,4,3,4,5,4,4,3,5,4,3,4,3,2,4,4,3,4,4,4,3,5,4
78,3,3,4,5,5,3,5,4,1,5,4,4,4,5,4,3,4,4,3,4,5,2,4,5
79,5,5,1,4,2,4,5,5,4,1,3,4,5,4,4,5,4,3,4,5,1,4,3,4
80,5,2,5,3,5,5,3,2,3,5,3,5,5,4,2,5,5,3,3,3,4,5,4,5
81,3,5,5,5,5,3,5,4,3,2,5,5,4,4,3,5,4,5,5,4,3,1,4,4
82,5,3,2,4,3,5,4,4,3,5,4,1,1,5,5,5,2,4,5,5,5,4,3,2
83,4,3,3,4,5,5,4,3,4,2,5,1,4,1,2,4,4,2,4,1,4,5,5,5
84,5,4,4,4,4,3,4,3,3,1,5,5,5,5,4,4,4,4,4,4,1,2,5,5
85,3,4,5,3,4,4,4,4,5,3,5,3,2,4,1,4,4,5,4,4,4,4,5,3
86,3,5,5,4,4,5,3,3,4,4,4,4,4,5,4,3,5,5,4,5,4,2,3,4
87,3,3,2,2,5,4,3,4,5,4,3,5,5,3,2,4,5,3,1,1,5,4,2,2
88,5,4,3,5,5,5,3,2,5,3,2,4,4,5,3,4,4,2,5,3,3,4,3,5
89,5,5,1,4,4,3,3,4,2,5,4,2,5,4,2,3,3,1,4,5,5,5,4,5
90,2,4,4,2,2,5,5,4,5,4,5,4,5,3,2,3,3,4,4,3,4,4,4,5
91,4,5,3,5,4,3,1,4,5,3,5,4,5,3,2,5,4,4,4,4,3,4,2,4
92,5,4,4,4,2,4,4,5,5,2,3,5,4,5,4,5,5,3,4,5,4,2,4,4
93,4,5,4,5,4,4,4,4,1,4,4,5,3,2,2,4,3,5,1,5,2,4,5,4
94,2,3,4,4,3,3,5,4,4,4,2,3,2,4,5,2,3,4,4,3,5,2,2,5
95,4,5,1,5,4,4,3,4,5,3,4,5,1,4,4,3,3,5,1,5,4,4,1,4
96,5,3,1,3,4,2,4,3,5,5,4,4,4,3,3,3,4,5,4,4,4,5,3,5
97,5,1,4,1,3,3,5,2,4,4,4,3,5,4,4,4,5,1,3,3,4,3,4,5
98,4,3,4,4,3,5,5,4,5,5,3,5,5,4,2,4,5,3,1,4,4,5,4,1
99,5,4,3,5,5,5,4,4,3,4,5,5,4,3,4,1,5,4,5,5,4,4,2,4
100,3,4,5,3,5,4,4,5,4,4,4,5,5,4,4,4,4,5,4,4,5,4,3,4
101,5,4,4,4,4,2,1,4,1,4,4,4,4,4,4,4,4,4,5,3,5,5,3,5
102,3,5,4,2,4,4,3,4,4,3,3,5,5,2,4,3,4,5,4,4,3,2,5,3
103,5,4,5,2,4,5,4,4,1,3,5,4,3,5,5,4,5,3,2,4,4,5,1,1
104,4,4,4,3,5,5,5,1,4,3,4,5,4,4,5,2,5,5,5,3,2,3,2,4
105,3,4,5,1,4,4,5,5,5,4,4,5,4,4,4,3,2,2,3,3,3,4,4,5
106,4,2,4,1,4,5,4,4,4,4,4,5,4,5,4,5,5,1,4,5,4,5,5,4
107,4,4,3,4,5,4,2,4,4,4,4,2,4,3,3,3,4,4,4,2,4,4,3,4
108,4,3,2,4,3,1,4,4,2,3,4,3,5,2,2,5,2,5,4,4,5,4,3,3
109,4,5,2,5,5,5,2,4,5,3,2,5,1,1,4,3,3,5,3,5,4,1,4,3
110,4,1,5,2,2,3,4,5,5,3,4,3,1,3,3,4,5,3,4,3,2,5,4,5
111,5,5,5,5,3,1,3,3,3,3,4,4,5,4,5,5,5,3,4,3,1,5,3,5
112,4,4,5,3,2,4,5,5,3,5,5,4,4,4,4,2,5,3,4,5,3,3,3,4
113,4,3,1,4,2,5,3,1,4,3,4,5,4,4,5,5,5,3,3,4,2,4,5,3
114,4,4,4,5,2,3,4,4,4,5,3,2,3,3,2,4,4,5,5,4,5,3,5,3
115,5,4,4,5,4,3,5,3,4,4,3,3,2,4,3,4,4,5,4,5,2,4,3,3
116,2,5,5,4,5,3,4,3,4,4,5,1,2,2,3,2,3,3,3,5,4,4,5,5
117,4,2,4,4,4,4,4,3,4,5,4,4,3,2,5,5,4,5,1,2,4,3,4,2
118,3,4,2,4,5,5,5,5,5,4,4,1,2,4,5,5,4,4,5,3,3,5,5,5
119,5,3,4,4,4,4,5,4,4,1,4,3,4,4,4,4,4,4,4,2,2,3,5,5
120,4,4,4,5,4,3,4,3,5,3,2,3,3,4,4,4,4,4,4,4,2,5,4,5
121,4,1,5,5,5,3,5,2,2,1,4,4,3,4,3,1,5,3,3,5,3,5,4,3
122,4,3,5,4,4,4,4,4,2,1,4,5,4,2,3,5,3,3,5,3,4,3,1,5
123,2,4,4,5,4,4,3,4,1,3,5,5,5,4,3,4,4,5,4,4,3,5,4,5
124,5,5,5,3,4,5,3,4,2,4,2,3,1,3,3,5,3,4,4,4,5,4,3,4
125,5,5,4,3,4,4,5,3,5,4,2,4,1,5,3,4,4,3,5,4,4,4,3,4
126,5,4,1,1,4,4,5,5,4,5,5,4,1,4,4,4,2,4,4,4,5,5,5,4
127,3,5,3,4,4,5,2,4,3,4,5,4,4,2,3,4,3,4,4,4,5,4,4,3
128,3,3,3,4,4,3,2,5,2,5,5,5,5,5,4,4,3,4,5,3,3,4,5,3
129,4,4,4,4,4,5,1,2,5,1,1,4,1,4,1,3,4,4,2,3,4,2,4,5
130,5,4,4,4,4,4,4,4,5,4,5,2,4,4,4,2,4,4,4,5,3,4,3,5
131,3,1,2,5,4,5,4,4,5,2,5,3,4,4,5,4,4,5,2,5,5,3,3,5
132,4,4,3,3,5,3,3,4,3,3,3,4,4,3,2,5,4,3,3,4,5,4,2,4
133,5,4,4,5,4,4,4,4,5,3,4,4,4,3,4,5,4,3,5,3,5,5,4,5
134,5,5,3,4,4,2,4,3,4,4,5,4,4,2,4,2,3,3,3,4,4,4,3,4
135,4,5,5,3,4,5,2,3,5,4,3,4,5,5,5,3,4,3,4,4,4,5,4,4
136,4,1,3,5,4,2,5,5,5,5,5,4,1,1,4,4,4,5,4,4,4,3,4,4
137,4,5,4,4,3,4,4,2,5,3,5,4,4,3,5,4,3,4,1,4,3,5,4,4
138,3,4,5,4,3,3,4,4,5,4,3,5,4,3,5,4,4,4,4,5,4,3,4,5
139,3,4,4,4,4,5,5,4,4,3,5,4,3,4,5,2,4,3,3,4,4,4,5,2
140,3,4,5,5,1,4,5,4,3,3,4,4,4,1,5,4,1,3,3,4,3,5,3,4
141,4,3,5,4,3,4,3,3,4,4,5,5,2,5,2,3,2,5,5,4,3,4,4,4
142,3,5,2,4,5,1,4,2,4,3,2,4,3,4,4,5,3,3,4,4,2,4,4,4
143,3,4,2,4,4,2,4,2,5,5,4,1,4,5,5,5,3,4,1,2,4,5,4,5
144,3,3,4,4,4,4,5,4,3,5,4,4,5,4,3,5,4,2,5,3,5,3,3,4
145,5,4,4,5,2,4,4,5,4,5,4,3,5,3,5,2,3,4,4,5,4,4,4,5
146,3,2,2,5,3,4,4,3,5,4,2,2,3,2,4,4,4,4,4,5,4,4,1,3
147,4,3,2,5,3,4,3,4,4,2,5,5,5,4,4,3,1,5,3,5,3,5,1,3
148,5,4,3,4,5,1,4,2,4,3,5,3,5,5,2,5,4,2,4,4,4,4,5,5
149,4,3,4,4,5,1,3,4,4,2,3,3,4,2,4,3,4,4,3,3,5,4,4,5
150,4,3,4,4,4,3,1,4,3,2,3,5,5,4,4,4,4,3,2,5,5,3,3,5
151,5,4,5,3,4,4,4,4,5,5,5,4,4,5,3,3,4,3,5,4,5,4,5,2
152,3,5,5,4,2,3,4,4,3,4,2,3,3,4,4,4,4,2,4,3,5,4,5,1
153,5,4,5,3,4,4,4,3,5,5,4,5,4,5,3,5,4,5,1,4,2,5,4,3
154,2,2,4,4,4,4,4,3,5,4,4,5,3,5,4,5,5,3,3,5,3,4,5,4
155,4,2,4,5,2,4,4,4,1,4,3,3,1,4,4,4,3,5,5,4,3,5,1,5
156,5,4,4,5,3,2,5,5,2,4,4,3,4,3,3,2,4,4,5,4,4,3,2,2
157,5,4,4,3,4,4,5,4,4,4,5,4,1,2,4,5,5,5,4,4,4,4,4,4
