ID,Fecha,Trabajador,Categoria,Tiempo_Gestion_Min,Cantidad_Vendida,Stock_Inicial,Stock_Final
1,2025-04-13,Ana,Antibioticos,8,6,183,177
2,2025-12-31,Luis,Antibioticos,5,5,75,70
3,2025-05-11,Carla,Vitaminas,1,11,186,175
4,2025-02-08,Luis,Antibioticos,7,15,92,77
5,2025-07-10,Ana,Analgésicos,2,3,175,172
6,2025-05-28,Jorge,Vitaminas,9,20,99,79
7,2025-09-19,Jorge,Pediátricos,6,3,26,23
8,2025-12-03,Luis,Antibioticos,7,11,120,109
9,2025-01-08,Jorge,Antibioticos,9,9,54,45
10,2025-02-15,Luis,Pediátricos,8,1,23,22
11,2025-08-12,Ana,Antibioticos,8,1,194,193
12,2025-05-24,Ana,Antibioticos,8,15,148,133
13,2025-08-09,Carla,Analgésicos,7,11,30,19
14,2025-12-18,Carla,Analgésicos,9,9,93,84
15,2025-04-20,Ana,Analgésicos,1,4,67,63
16,2025-08-13,Carla,Pediátricos,7,12,60,48
17,2025-03-05,Jorge,Vitaminas,11,4,34,30
18,2025-06-13,Carla,Vitaminas,1,7,193,186
19,2025-03-29,Ana,Analgésicos,1,13,180,167
20,2025-10-05,Carla,Analgésicos,9,13,169,156
21,2025-11-07,Ana,Pediátricos,9,9,194,185
22,2025-08-08,Carla,Analgésicos,8,19,178,159
23,2025-02-23,Luis,Pediátricos,9,7,168,161
24,2025-03-06,Ana,Pediátricos,10,10,169,159
25,2025-11-16,Jorge,Analgésicos,5,2,91,89
26,2025-11-19,Luis,Vitaminas,4,6,164,158
27,2025-12-01,Luis,Antibioticos,8,16,85,69
28,2025-10-01,Luis,Antibioticos,6,6,58,52
29,2025-10-24,Jorge,Analgésicos,6,1,58,57
30,2025-05-25,Carla,Pediátricos,7,14,117,103
31,2025-06-19,Jorge,Vitaminas,11,2,112,110
32,2025-03-12,Luis,Pediátricos,8,7,79,72
33,2025-02-18,Jorge,Antibioticos,9,15,114,99
34,2025-09-27,Carla,Antibioticos,7,2,71,69
35,2025-03-30,Luis,Analgésicos,3,15,67,52
36,2025-07-04,Ana,Antibioticos,8,3,56,53
37,2025-12-13,Carla,Vitaminas,2,4,115,111
38,2025-09-26,Luis,Pediátricos,6,9,62,53
39,2025-03-10,Luis,Analgésicos,3,20,139,119
40,2025-01-24,Carla,Vitaminas,1,19,28,9
41,2025-01-18,Carla,Vitaminas,2,16,99,83
42,2025-07-30,Jorge,Analgésicos,6,1,162,161
43,2025-03-08,Jorge,Analgésicos,7,10,198,188
44,2025-03-05,Jorge,Vitaminas,8,13,93,80
